Hugo_Symbol	Tumor_Sample_Barcode
SSH2	TCGA-CH-5739-01
RP11-1407O15.2	TCGA-CH-5739-01
GPR179	TCGA-CH-5739-01
MED1	TCGA-CH-5739-01
CDK12	TCGA-CH-5739-01
ORMDL3	TCGA-CH-5739-01
WIPF2	TCGA-CH-5739-01
TNS4	TCGA-CH-5739-01
KCNH4	TCGA-CH-5739-01
NAGLU	TCGA-CH-5739-01
CNTNAP1	TCGA-CH-5739-01
GPATCH8	TCGA-CH-5739-01
RP11-156P1.3	TCGA-CH-5739-01
HOXB1	TCGA-CH-5739-01
COL1A1	TCGA-CH-5739-01
SPATA20	TCGA-CH-5739-01
SPAG9	TCGA-CH-5739-01
C17orf67	TCGA-CH-5739-01
SEPT4	TCGA-CH-5739-01
LRRC37A3	TCGA-CH-5739-01
MAP2K6	TCGA-CH-5739-01
COG1	TCGA-CH-5739-01
DNAI2	TCGA-CH-5739-01
NUP85	TCGA-CH-5739-01
RHBDF2	TCGA-CH-5739-01
CANT1	TCGA-CH-5739-01
GAA	TCGA-CH-5739-01
TSPAN10	TCGA-CH-5739-01
MYOM1	TCGA-CH-5739-01
SOGA2	TCGA-CH-5739-01
CDH2	TCGA-CH-5739-01
ZBTB7C	TCGA-CH-5739-01
CTIF	TCGA-CH-5739-01
MC4R	TCGA-CH-5739-01
ADNP2	TCGA-CH-5739-01
CDC34	TCGA-CH-5739-01
PTPRS	TCGA-CH-5739-01
ZNF358	TCGA-CH-5739-01
SNAPC2	TCGA-CH-5739-01
FBN3	TCGA-CH-5739-01
MUC16	TCGA-CH-5739-01
MUC16	TCGA-CH-5739-01
MUC16	TCGA-CH-5739-01
DNMT1	TCGA-CH-5739-01
ZGLP1	TCGA-CH-5739-01
ILF3	TCGA-CH-5739-01
DNM2	TCGA-CH-5739-01
CCDC151	TCGA-CH-5739-01
ZNF763	TCGA-CH-5739-01
OR7A5	TCGA-CH-5739-01
SIN3B	TCGA-CH-5739-01
ANKLE1	TCGA-CH-5739-01
FAM129C	TCGA-CH-5739-01
JAK3	TCGA-CH-5739-01
SLC25A42	TCGA-CH-5739-01
NCAN	TCGA-CH-5739-01
URI1	TCGA-CH-5739-01
URI1	TCGA-CH-5739-01
TSHZ3	TCGA-CH-5739-01
CEP89	TCGA-CH-5739-01
RHPN2	TCGA-CH-5739-01
KIAA0355	TCGA-CH-5739-01
ZNF181	TCGA-CH-5739-01
LSR	TCGA-CH-5739-01
KMT2B	TCGA-CH-5739-01
KMT2B	TCGA-CH-5739-01
ZNF585B	TCGA-CH-5739-01
CATSPERG	TCGA-CH-5739-01
PLD3	TCGA-CH-5739-01
CEACAM4	TCGA-CH-5739-01
ATP1A3	TCGA-CH-5739-01
PSG1	TCGA-CH-5739-01
ZNF283	TCGA-CH-5739-01
BCAM	TCGA-CH-5739-01
CD3EAP	TCGA-CH-5739-01
DBP	TCGA-CH-5739-01
CGB	TCGA-CH-5739-01
KLK12	TCGA-CH-5739-01
ZNF836	TCGA-CH-5739-01
ZNF701	TCGA-CH-5739-01
VN1R2	TCGA-CH-5739-01
MIR520A	TCGA-CH-5739-01
LILRA1	TCGA-CH-5739-01
KIR3DL1	TCGA-CH-5739-01
EPS8L1	TCGA-CH-5739-01
BRSK1	TCGA-CH-5739-01
NLRP9	TCGA-CH-5739-01
NLRP8	TCGA-CH-5739-01
ZNF304	TCGA-CH-5739-01
ZNF304	TCGA-CH-5739-01
ZNF552	TCGA-CH-5739-01
ZNF256	TCGA-CH-5739-01
ZNF446	TCGA-CH-5739-01
DEFB128	TCGA-CH-5739-01
SIRPG	TCGA-CH-5739-01
C20orf141	TCGA-CH-5739-01
GPCPD1	TCGA-CH-5739-01
PLCB1	TCGA-CH-5739-01
JAG1	TCGA-CH-5739-01
NAA20	TCGA-CH-5739-01
ZNF337	TCGA-CH-5739-01
DEFB118	TCGA-CH-5739-01
DLGAP4	TCGA-CH-5739-01
RBL1	TCGA-CH-5739-01
RALGAPB	TCGA-CH-5739-01
CHD6	TCGA-CH-5739-01
PLTP	TCGA-CH-5739-01
NCOA3	TCGA-CH-5739-01
ATP9A	TCGA-CH-5739-01
APCDD1L	TCGA-CH-5739-01
TMPRSS15	TCGA-CH-5739-01
KRTAP11-1	TCGA-CH-5739-01
SON	TCGA-CH-5739-01
ITSN1	TCGA-CH-5739-01
SLC5A3	TCGA-CH-5739-01
SLC5A3	TCGA-CH-5739-01
DSCR10	TCGA-CH-5739-01
UMODL1	TCGA-CH-5739-01
UMODL1	TCGA-CH-5739-01
LSS	TCGA-CH-5739-01
DIP2A	TCGA-CH-5739-01
MRPL40	TCGA-CH-5739-01
IGLV2-11	TCGA-CH-5739-01
IGLV2-8	TCGA-CH-5739-01
SEZ6L	TCGA-CH-5739-01
SRRD	TCGA-CH-5739-01
CRYBA4	TCGA-CH-5739-01
THOC5	TCGA-CH-5739-01
NF2	TCGA-CH-5739-01
MTMR3	TCGA-CH-5739-01
DEPDC5	TCGA-CH-5739-01
RBFOX2	TCGA-CH-5739-01
GGA1	TCGA-CH-5739-01
L3MBTL2	TCGA-CH-5739-01
POLDIP3	TCGA-CH-5739-01
EFCAB6	TCGA-CH-5739-01
KLHDC7B	TCGA-CH-5739-01
PPP2R3B	TCGA-CH-5739-01
BMX	TCGA-CH-5739-01
RPS6KA3	TCGA-CH-5739-01
PHEX	TCGA-CH-5739-01
IL1RAPL1	TCGA-CH-5739-01
BTK	TCGA-CH-5739-01
ARMCX2	TCGA-CH-5739-01
CAPN6	TCGA-CH-5739-01
TRPC5	TCGA-CH-5739-01
BCORL1	TCGA-CH-5739-01
OR13H1	TCGA-CH-5739-01
ZIC3	TCGA-CH-5739-01
MAGEC3	TCGA-CH-5739-01
AFF2	TCGA-CH-5739-01
MAGEA11	TCGA-CH-5739-01
PNCK	TCGA-CH-5739-01
C1orf173	TCGA-CH-5740-01
NTNG1	TCGA-CH-5740-01
OVGP1	TCGA-CH-5740-01
LCE2D	TCGA-CH-5740-01
AIM2	TCGA-CH-5740-01
CR1L	TCGA-CH-5740-01
CD46	TCGA-CH-5740-01
TFB2M	TCGA-CH-5740-01
OR11L1	TCGA-CH-5740-01
CNTNAP5	TCGA-CH-5740-01
PLCXD2	TCGA-CH-5740-01
MUC4	TCGA-CH-5740-01
ADAMTS3	TCGA-CH-5740-01
LGSN	TCGA-CH-5740-01
SMPDL3A	TCGA-CH-5740-01
MEPCE	TCGA-CH-5740-01
VGF	TCGA-CH-5740-01
STAU2	TCGA-CH-5740-01
KLF10	TCGA-CH-5740-01
ZHX1	TCGA-CH-5740-01
VPS13A	TCGA-CH-5740-01
SH2D3C	TCGA-CH-5740-01
PTEN	TCGA-CH-5740-01
SLC5A12	TCGA-CH-5740-01
FBXO3	TCGA-CH-5740-01
OR5L2	TCGA-CH-5740-01
RNF17	TCGA-CH-5740-01
EIF2AK4	TCGA-CH-5740-01
CDH8	TCGA-CH-5740-01
SPC24	TCGA-CH-5740-01
GLTSCR1	TCGA-CH-5740-01
MECOM	TCGA-CH-5740-01
CEP57L1	TCGA-CH-5740-01
RNH1	TCGA-CH-5740-01
VRK3	TCGA-CH-5740-01
GRHL3	TCGA-CH-5741-01
RUNX3	TCGA-CH-5741-01
ASH1L	TCGA-CH-5741-01
CACNA1S	TCGA-CH-5741-01
ATP2B4	TCGA-CH-5741-01
TRIM43	TCGA-CH-5741-01
TTN	TCGA-CH-5741-01
PPARG	TCGA-CH-5741-01
UGT3A1	TCGA-CH-5741-01
ATG12	TCGA-CH-5741-01
SUN1	TCGA-CH-5741-01
DLX5	TCGA-CH-5741-01
SULF1	TCGA-CH-5741-01
RBM12B	TCGA-CH-5741-01
ANXA13	TCGA-CH-5741-01
KIAA2026	TCGA-CH-5741-01
CNTN5	TCGA-CH-5741-01
C11orf70	TCGA-CH-5741-01
HELB	TCGA-CH-5741-01
NAV3	TCGA-CH-5741-01
TIMM22	TCGA-CH-5741-01
NLRP1	TCGA-CH-5741-01
RAB34	TCGA-CH-5741-01
KRT25	TCGA-CH-5741-01
HID1	TCGA-CH-5741-01
TTC39C	TCGA-CH-5741-01
MMP24	TCGA-CH-5741-01
ZMYM3	TCGA-CH-5741-01
OGT	TCGA-CH-5741-01
CERS6	TCGA-CH-5741-01
CTNNBL1	TCGA-CH-5741-01
GPR64	TCGA-CH-5741-01
SFRP4	TCGA-CH-5743-01
BCL11A	TCGA-CH-5744-01
CCDC93	TCGA-CH-5744-01
LRP1B	TCGA-CH-5744-01
CUL3	TCGA-CH-5744-01
DOCK3	TCGA-CH-5744-01
RYBP	TCGA-CH-5744-01
TMEM167A	TCGA-CH-5744-01
CDKL3	TCGA-CH-5744-01
PSD2	TCGA-CH-5744-01
ATP10B	TCGA-CH-5744-01
ZAN	TCGA-CH-5744-01
KDM4C	TCGA-CH-5744-01
IKBKAP	TCGA-CH-5744-01
WDR38	TCGA-CH-5744-01
NCAM1	TCGA-CH-5744-01
BARX2	TCGA-CH-5744-01
FERMT2	TCGA-CH-5744-01
HYPK	TCGA-CH-5744-01
ZNF521	TCGA-CH-5744-01
CATSPERD	TCGA-CH-5744-01
LDLR	TCGA-CH-5744-01
KLK3	TCGA-CH-5744-01
KLK3	TCGA-CH-5744-01
MBD6	TCGA-CH-5744-01
RPL34P34	TCGA-CH-5744-01
RP5-1182A14.5	TCGA-CH-5746-01
CYR61	TCGA-CH-5746-01
PDK1	TCGA-CH-5746-01
CHPF	TCGA-CH-5746-01
DPYSL2	TCGA-CH-5746-01
YME1L1	TCGA-CH-5746-01
CNGA4	TCGA-CH-5746-01
SLC2A14	TCGA-CH-5746-01
POC1B-GALNT4	TCGA-CH-5746-01
NOX5	TCGA-CH-5746-01
CMTM4	TCGA-CH-5746-01
HRC	TCGA-CH-5746-01
NCAM2	TCGA-CH-5746-01
GSTM5	TCGA-CH-5752-01
ASH1L	TCGA-CH-5752-01
SUCO	TCGA-CH-5752-01
ARID4B	TCGA-CH-5752-01
SRSF7	TCGA-CH-5752-01
CCDC85A	TCGA-CH-5752-01
RNF25	TCGA-CH-5752-01
TTLL3	TCGA-CH-5752-01
CTNNB1	TCGA-CH-5752-01
ZKSCAN7	TCGA-CH-5752-01
ATP6V1A	TCGA-CH-5752-01
COL6A5	TCGA-CH-5752-01
TBL1XR1	TCGA-CH-5752-01
EHHADH	TCGA-CH-5752-01
USP38	TCGA-CH-5752-01
LINC00518	TCGA-CH-5752-01
CROT	TCGA-CH-5752-01
GALNT11	TCGA-CH-5752-01
KMT2C	TCGA-CH-5752-01
TRPM6	TCGA-CH-5752-01
ZNF518A	TCGA-CH-5752-01
FAT3	TCGA-CH-5752-01
VSIG2	TCGA-CH-5752-01
METTL25	TCGA-CH-5752-01
LHX5	TCGA-CH-5752-01
SCARB1	TCGA-CH-5752-01
PCNXL4	TCGA-CH-5752-01
VIPAS39	TCGA-CH-5752-01
TJP1	TCGA-CH-5752-01
ARHGAP11B	TCGA-CH-5752-01
PML	TCGA-CH-5752-01
AFG3L2	TCGA-CH-5752-01
MED16	TCGA-CH-5752-01
RYR1	TCGA-CH-5752-01
PHF20	TCGA-CH-5752-01
OSER1	TCGA-CH-5752-01
OR2L13	TCGA-CH-5752-01
KMT2C	TCGA-CH-5752-01
KMT2C	TCGA-CH-5752-01
DSCC1	TCGA-CH-5752-01
CYC1	TCGA-CH-5752-01
C9orf84	TCGA-CH-5752-01
HECTD2	TCGA-CH-5752-01
CDKN1B	TCGA-CH-5752-01
ARID2	TCGA-CH-5752-01
FMNL3	TCGA-CH-5752-01
PLCH2	TCGA-CH-5754-01
VPS13D	TCGA-CH-5754-01
VAV3	TCGA-CH-5754-01
CACYBP	TCGA-CH-5754-01
F13B	TCGA-CH-5754-01
GPR37L1	TCGA-CH-5754-01
GPATCH2	TCGA-CH-5754-01
NLRP3	TCGA-CH-5754-01
SNRNP200	TCGA-CH-5754-01
SLC5A7	TCGA-CH-5754-01
SMARCAL1	TCGA-CH-5754-01
VIL1	TCGA-CH-5754-01
SCN11A	TCGA-CH-5754-01
GBE1	TCGA-CH-5754-01
DNAJC13	TCGA-CH-5754-01
CEP63	TCGA-CH-5754-01
IGSF10	TCGA-CH-5754-01
AP2M1	TCGA-CH-5754-01
PSMD2	TCGA-CH-5754-01
MASP1	TCGA-CH-5754-01
PCDHA1	TCGA-CH-5754-01
MGAT1	TCGA-CH-5754-01
PGBD1	TCGA-CH-5754-01
PTCHD4	TCGA-CH-5754-01
PARK2	TCGA-CH-5754-01
CREB5	TCGA-CH-5754-01
OR2AE1	TCGA-CH-5754-01
C7orf60	TCGA-CH-5754-01
ESYT2	TCGA-CH-5754-01
PREX2	TCGA-CH-5754-01
GRHL2	TCGA-CH-5754-01
FAM83A	TCGA-CH-5754-01
TSTA3	TCGA-CH-5754-01
KANK1	TCGA-CH-5754-01
TAF1L	TCGA-CH-5754-01
KIF24	TCGA-CH-5754-01
FBXW5	TCGA-CH-5754-01
SPAG6	TCGA-CH-5754-01
TMEM26	TCGA-CH-5754-01
ZNF518A	TCGA-CH-5754-01
OR5P2	TCGA-CH-5754-01
INTS4	TCGA-CH-5754-01
KIAA1377	TCGA-CH-5754-01
ANO4	TCGA-CH-5754-01
STAB2	TCGA-CH-5754-01
PRMT5	TCGA-CH-5754-01
NYNRIN	TCGA-CH-5754-01
FSCB	TCGA-CH-5754-01
ZNF410	TCGA-CH-5754-01
C14orf166B	TCGA-CH-5754-01
AQR	TCGA-CH-5754-01
AQR	TCGA-CH-5754-01
TTBK2	TCGA-CH-5754-01
UNC13C	TCGA-CH-5754-01
IGDCC3	TCGA-CH-5754-01
VWA9	TCGA-CH-5754-01
CSPG4	TCGA-CH-5754-01
IQGAP1	TCGA-CH-5754-01
SLC5A2	TCGA-CH-5754-01
ZNF267	TCGA-CH-5754-01
LRRC36	TCGA-CH-5754-01
BCL6B	TCGA-CH-5754-01
SDK2	TCGA-CH-5754-01
ACTG1	TCGA-CH-5754-01
MUC16	TCGA-CH-5754-01
BANF2	TCGA-CH-5754-01
SLC35C2	TCGA-CH-5754-01
TPTE	TCGA-CH-5754-01
RIMBP3	TCGA-CH-5754-01
TRIT1	TCGA-CH-5754-01
DDC	TCGA-CH-5754-01
ATAD2	TCGA-CH-5754-01
DDX58	TCGA-CH-5754-01
C12orf57	TCGA-CH-5754-01
BRCA2	TCGA-CH-5754-01
MYH7	TCGA-CH-5754-01
PSMD7P1	TCGA-CH-5754-01
KLK1	TCGA-CH-5754-01
MYH7B	TCGA-CH-5754-01
SGSM1	TCGA-CH-5754-01
MIIP	TCGA-CH-5764-01
EPS15	TCGA-CH-5764-01
TMOD4	TCGA-CH-5764-01
CNNM4	TCGA-CH-5764-01
SCN3A	TCGA-CH-5764-01
GIGYF2	TCGA-CH-5764-01
RBM5	TCGA-CH-5764-01
AGTR1	TCGA-CH-5764-01
DGKQ	TCGA-CH-5764-01
FRAS1	TCGA-CH-5764-01
BMP6	TCGA-CH-5764-01
TFAP2D	TCGA-CH-5764-01
FAM83B	TCGA-CH-5764-01
LGSN	TCGA-CH-5764-01
PRPS1L1	TCGA-CH-5764-01
STAG3	TCGA-CH-5764-01
DEFB135	TCGA-CH-5764-01
PTDSS1	TCGA-CH-5764-01
ABHD17B	TCGA-CH-5764-01
TBC1D2	TCGA-CH-5764-01
TNC	TCGA-CH-5764-01
NUCB2	TCGA-CH-5764-01
SLC4A8	TCGA-CH-5764-01
TBC1D15	TCGA-CH-5764-01
BRCA2	TCGA-CH-5764-01
MYH6	TCGA-CH-5764-01
CLEC14A	TCGA-CH-5764-01
ARG2	TCGA-CH-5764-01
COX8C	TCGA-CH-5764-01
SETD1A	TCGA-CH-5764-01
ZNF423	TCGA-CH-5764-01
PHLPP2	TCGA-CH-5764-01
DOT1L	TCGA-CH-5764-01
CDC45	TCGA-CH-5764-01
CCDC39	TCGA-CH-5764-01
MRPL20	TCGA-CH-5765-01
FLG	TCGA-CH-5765-01
CD244	TCGA-CH-5765-01
DHX57	TCGA-CH-5765-01
RTKN	TCGA-CH-5765-01
PDCD1	TCGA-CH-5765-01
MYNN	TCGA-CH-5765-01
OPA1	TCGA-CH-5765-01
ADH4	TCGA-CH-5765-01
TNIP3	TCGA-CH-5765-01
NEK1	TCGA-CH-5765-01
FBN2	TCGA-CH-5765-01
PCDHA3	TCGA-CH-5765-01
PCDHB5	TCGA-CH-5765-01
NRCAM	TCGA-CH-5765-01
SYK	TCGA-CH-5765-01
DDX50	TCGA-CH-5765-01
OR52R1	TCGA-CH-5765-01
DUSP16	TCGA-CH-5765-01
HNF1A	TCGA-CH-5765-01
CLIP1	TCGA-CH-5765-01
TNFAIP2	TCGA-CH-5765-01
DDX19B	TCGA-CH-5765-01
CNDP1	TCGA-CH-5765-01
GPATCH1	TCGA-CH-5765-01
CHD6	TCGA-CH-5765-01
CALML4	TCGA-CH-5765-01
ESCO1	TCGA-CH-5765-01
TCEB3	TCGA-CH-5766-01
LYST	TCGA-CH-5766-01
CTNNA2	TCGA-CH-5766-01
CTNNA2	TCGA-CH-5766-01
LCT	TCGA-CH-5766-01
SCN7A	TCGA-CH-5766-01
TTN	TCGA-CH-5766-01
TTN	TCGA-CH-5766-01
PSMD6	TCGA-CH-5766-01
OTUD4	TCGA-CH-5766-01
BDP1	TCGA-CH-5766-01
SYNE1	TCGA-CH-5766-01
ZFPM2	TCGA-CH-5766-01
CENPP	TCGA-CH-5766-01
CDK1	TCGA-CH-5766-01
MUS81	TCGA-CH-5766-01
TRAV18	TCGA-CH-5766-01
SIX1	TCGA-CH-5766-01
NRXN3	TCGA-CH-5766-01
CHSY1	TCGA-CH-5766-01
MPP2	TCGA-CH-5766-01
ANKRD12	TCGA-CH-5766-01
MOCOS	TCGA-CH-5766-01
DOPEY2	TCGA-CH-5766-01
WNK3	TCGA-CH-5766-01
FRMD7	TCGA-CH-5766-01
F8	TCGA-CH-5766-01
HEXB	TCGA-CH-5766-01
MTOR	TCGA-CH-5768-01
RPE65	TCGA-CH-5768-01
WDR77	TCGA-CH-5768-01
SPTA1	TCGA-CH-5768-01
C1orf116	TCGA-CH-5768-01
RYR2	TCGA-CH-5768-01
SEL1L3	TCGA-CH-5768-01
PDZD2	TCGA-CH-5768-01
SLC27A6	TCGA-CH-5768-01
TTC1	TCGA-CH-5768-01
RP5-874C20.3	TCGA-CH-5768-01
DPY19L1	TCGA-CH-5768-01
WBSCR17	TCGA-CH-5768-01
DGKI	TCGA-CH-5768-01
SULF1	TCGA-CH-5768-01
NCOA4	TCGA-CH-5768-01
SLIT1	TCGA-CH-5768-01
SFR1	TCGA-CH-5768-01
AHNAK	TCGA-CH-5768-01
B3GAT3	TCGA-CH-5768-01
MAP6	TCGA-CH-5768-01
RPGRIP1	TCGA-CH-5768-01
ZFP36L1	TCGA-CH-5768-01
AHNAK2	TCGA-CH-5768-01
DET1	TCGA-CH-5768-01
GRIN2A	TCGA-CH-5768-01
ABCC6	TCGA-CH-5768-01
ZNF276	TCGA-CH-5768-01
MYO15A	TCGA-CH-5768-01
KRT25	TCGA-CH-5768-01
RABAC1	TCGA-CH-5768-01
KLK3	TCGA-CH-5768-01
SFI1	TCGA-CH-5768-01
TXN2	TCGA-CH-5768-01
CDPF1	TCGA-CH-5768-01
TEX11	TCGA-CH-5768-01
SMARCA1	TCGA-CH-5768-01
CAMTA1	TCGA-CH-5769-01
PRDM2	TCGA-CH-5769-01
GBP3	TCGA-CH-5769-01
LAMC1	TCGA-CH-5769-01
WNT9A	TCGA-CH-5769-01
MYT1L	TCGA-CH-5769-01
BCL11A	TCGA-CH-5769-01
TLK1	TCGA-CH-5769-01
APPL1	TCGA-CH-5769-01
PLD1	TCGA-CH-5769-01
ST6GAL1	TCGA-CH-5769-01
BOD1L1	TCGA-CH-5769-01
LRIT3	TCGA-CH-5769-01
PCDHA2	TCGA-CH-5769-01
PCDHA13	TCGA-CH-5769-01
FILIP1	TCGA-CH-5769-01
ASB4	TCGA-CH-5769-01
PPP1R3B	TCGA-CH-5769-01
PXDNL	TCGA-CH-5769-01
VPS13B	TCGA-CH-5769-01
FAM91A1	TCGA-CH-5769-01
ZNF462	TCGA-CH-5769-01
NUP188	TCGA-CH-5769-01
TRPV4	TCGA-CH-5769-01
LHFP	TCGA-CH-5769-01
COL4A2	TCGA-CH-5769-01
KCNH5	TCGA-CH-5769-01
FAM214A	TCGA-CH-5769-01
DNAH9	TCGA-CH-5769-01
RNF112	TCGA-CH-5769-01
MYO1D	TCGA-CH-5769-01
LAMA1	TCGA-CH-5769-01
KLHL14	TCGA-CH-5769-01
TPGS2	TCGA-CH-5769-01
KCNG2	TCGA-CH-5769-01
MUC16	TCGA-CH-5769-01
GPI	TCGA-CH-5769-01
ZBTB32	TCGA-CH-5769-01
ZNF574	TCGA-CH-5769-01
ZNF71	TCGA-CH-5769-01
GRIK1	TCGA-CH-5769-01
DHRSX	TCGA-CH-5769-01
AK5	TCGA-CH-5769-01
OR2M7	TCGA-CH-5769-01
THADA	TCGA-CH-5769-01
IL1F10	TCGA-CH-5769-01
ARHGAP15	TCGA-CH-5769-01
ENAM	TCGA-CH-5769-01
MYO10	TCGA-CH-5769-01
DIMT1	TCGA-CH-5769-01
GPR98	TCGA-CH-5769-01
ERCC6	TCGA-CH-5769-01
TCF7L2	TCGA-CH-5769-01
TRIM5	TCGA-CH-5769-01
PCNX	TCGA-CH-5769-01
SNRPN	TCGA-CH-5769-01
BRCA2	TCGA-CH-5789-01
PARP1	TCGA-CH-5789-01
NLRC4	TCGA-CH-5789-01
CP	TCGA-CH-5789-01
ZNF282	TCGA-CH-5789-01
SPATA31C1	TCGA-CH-5789-01
CPSF2	TCGA-CH-5789-01
CDAN1	TCGA-CH-5789-01
CSPG4	TCGA-CH-5789-01
PBX4	TCGA-CH-5789-01
NSFL1C	TCGA-CH-5789-01
SLC4A11	TCGA-CH-5789-01
XRCC6	TCGA-CH-5789-01
XIST	TCGA-CH-5789-01
PPP1R3A	TCGA-CH-5789-01
ETV4	TCGA-CH-5789-01
PLCH2	TCGA-CH-5790-01
AKNAD1	TCGA-CH-5790-01
FCGR1A	TCGA-CH-5790-01
RAB3GAP2	TCGA-CH-5790-01
IGKV1D-42	TCGA-CH-5790-01
ACOX2	TCGA-CH-5790-01
FRYL	TCGA-CH-5790-01
MAN2A1	TCGA-CH-5790-01
DMXL1	TCGA-CH-5790-01
HSPA9	TCGA-CH-5790-01
MSH5	TCGA-CH-5790-01
TOMM7	TCGA-CH-5790-01
SPDYE7P	TCGA-CH-5790-01
KIFC2	TCGA-CH-5790-01
NAV2	TCGA-CH-5790-01
CHEK1	TCGA-CH-5790-01
GNB3	TCGA-CH-5790-01
PCK2	TCGA-CH-5790-01
MLH3	TCGA-CH-5790-01
ASB2	TCGA-CH-5790-01
ALDH1A2	TCGA-CH-5790-01
GDE1	TCGA-CH-5790-01
CEACAM6	TCGA-CH-5790-01
MAPRE1	TCGA-CH-5790-01
HDAC8	TCGA-CH-5790-01
RIF1	TCGA-CH-5790-01
LCE5A	TCGA-CH-5791-01
CEBPZ	TCGA-CH-5791-01
RAPH1	TCGA-CH-5791-01
FILIP1L	TCGA-CH-5791-01
BCL6	TCGA-CH-5791-01
PLG	TCGA-CH-5791-01
INHBA	TCGA-CH-5791-01
ZKSCAN5	TCGA-CH-5791-01
SSPO	TCGA-CH-5791-01
FANCG	TCGA-CH-5791-01
PRUNE2	TCGA-CH-5791-01
SMC2	TCGA-CH-5791-01
UBAC1	TCGA-CH-5791-01
PTEN	TCGA-CH-5791-01
CRTAC1	TCGA-CH-5791-01
NAV2	TCGA-CH-5791-01
TCN1	TCGA-CH-5791-01
EML3	TCGA-CH-5791-01
MAML2	TCGA-CH-5791-01
SIDT2	TCGA-CH-5791-01
CCDC15	TCGA-CH-5791-01
FGFR1OP2	TCGA-CH-5791-01
METTL3	TCGA-CH-5791-01
SPSB3	TCGA-CH-5791-01
CCDC135	TCGA-CH-5791-01
AFG3L2	TCGA-CH-5791-01
ZNF564	TCGA-CH-5791-01
SLC5A5	TCGA-CH-5791-01
FTCD	TCGA-CH-5791-01
PPEF1	TCGA-CH-5791-01
PCDHGB3	TCGA-CH-5791-01
CDHR3	TCGA-CH-5791-01
B3GNT4	TCGA-CH-5791-01
B3GNT4	TCGA-CH-5791-01
MAPKAPK2	TCGA-CH-5794-01
CCDC121	TCGA-CH-5794-01
AGFG1	TCGA-CH-5794-01
VGLL4	TCGA-CH-5794-01
GPR160	TCGA-CH-5794-01
RAI14	TCGA-CH-5794-01
ADAMTS19	TCGA-CH-5794-01
HIST1H4K	TCGA-CH-5794-01
PTK7	TCGA-CH-5794-01
HCRTR2	TCGA-CH-5794-01
LRCH4	TCGA-CH-5794-01
PRSS1	TCGA-CH-5794-01
NKX3-1	TCGA-CH-5794-01
RP11-464F9.1	TCGA-CH-5794-01
EEF1DP3	TCGA-CH-5794-01
NOVA1	TCGA-CH-5794-01
DDHD1	TCGA-CH-5794-01
XAB2	TCGA-CH-5794-01
OLFM2	TCGA-CH-5794-01
NF2	TCGA-CH-5794-01
ZNF182	TCGA-CH-5794-01
IQCJ-SCHIP1	TCGA-CH-5794-01
ARID1B	TCGA-CH-5794-01
SEMA3D	TCGA-CH-5794-01
FMNL3	TCGA-CH-5794-01
HP1BP3	TCGA-EJ-5495-01
HSPG2	TCGA-EJ-5495-01
ASH1L	TCGA-EJ-5495-01
FASLG	TCGA-EJ-5495-01
PLXNA2	TCGA-EJ-5495-01
SNTG2	TCGA-EJ-5495-01
PROKR1	TCGA-EJ-5495-01
TMEM131	TCGA-EJ-5495-01
MRPS9	TCGA-EJ-5495-01
TTN	TCGA-EJ-5495-01
NGLY1	TCGA-EJ-5495-01
XCR1	TCGA-EJ-5495-01
ITIH3	TCGA-EJ-5495-01
ADAM29	TCGA-EJ-5495-01
LINC01098	TCGA-EJ-5495-01
CDH6	TCGA-EJ-5495-01
CRHBP	TCGA-EJ-5495-01
CMYA5	TCGA-EJ-5495-01
LOX	TCGA-EJ-5495-01
LINC00518	TCGA-EJ-5495-01
MDGA1	TCGA-EJ-5495-01
UNC93A	TCGA-EJ-5495-01
EGFR	TCGA-EJ-5495-01
CTTNBP2	TCGA-EJ-5495-01
ARHGEF10	TCGA-EJ-5495-01
ZCCHC7	TCGA-EJ-5495-01
HSDL2	TCGA-EJ-5495-01
LCN2	TCGA-EJ-5495-01
RASSF4	TCGA-EJ-5495-01
LINC00842	TCGA-EJ-5495-01
NEUROG3	TCGA-EJ-5495-01
TNKS1BP1	TCGA-EJ-5495-01
SLC43A3	TCGA-EJ-5495-01
MPEG1	TCGA-EJ-5495-01
MALAT1	TCGA-EJ-5495-01
ZDHHC24	TCGA-EJ-5495-01
ART4	TCGA-EJ-5495-01
KMT2D	TCGA-EJ-5495-01
TENC1	TCGA-EJ-5495-01
XPO4	TCGA-EJ-5495-01
C14orf166B	TCGA-EJ-5495-01
DYNC1H1	TCGA-EJ-5495-01
OR4M2	TCGA-EJ-5495-01
GSG1L	TCGA-EJ-5495-01
VPS35	TCGA-EJ-5495-01
GLOD4	TCGA-EJ-5495-01
CCDC144B	TCGA-EJ-5495-01
CCDC144B	TCGA-EJ-5495-01
ANKRD13B	TCGA-EJ-5495-01
TAF15	TCGA-EJ-5495-01
CSH1	TCGA-EJ-5495-01
SEC14L1	TCGA-EJ-5495-01
NPTX1	TCGA-EJ-5495-01
EPB41L3	TCGA-EJ-5495-01
AQP4	TCGA-EJ-5495-01
SETBP1	TCGA-EJ-5495-01
BCKDHA	TCGA-EJ-5495-01
ATP1A3	TCGA-EJ-5495-01
GLTSCR1	TCGA-EJ-5495-01
ZNF616	TCGA-EJ-5495-01
ZNF17	TCGA-EJ-5495-01
STK35	TCGA-EJ-5495-01
ZNF341	TCGA-EJ-5495-01
